probeId	geneId
ILMN_1214319	ENSMUSG00000055760
ILMN_1214322	ENSMUSG00000001930
ILMN_1214326	ENSMUSG00000026825
ILMN_1214332	ENSMUSG00000031434
ILMN_1214353	ENSMUSG00000001627
ILMN_1214356	ENSMUSG00000027291
ILMN_1214358	ENSMUSG00000011096
ILMN_1214364	ENSMUSG00000049109
ILMN_1214366	ENSMUSG00000045339
ILMN_1214368	ENSMUSG00000044471
ILMN_1214369	ENSMUSG00000015839
ILMN_1214375	ENSMUSG00000028848
ILMN_1214378	ENSMUSG00000024246
ILMN_1214389	ENSMUSG00000079606
ILMN_1214391	ENSMUSG00000036975
ILMN_1214394	ENSMUSG00000020315
ILMN_1214396	ENSMUSG00000031584
ILMN_1214401	ENSMUSG00000038803
ILMN_1214402	ENSMUSG00000037989
ILMN_1214404	ENSMUSG00000042216
ILMN_1214405	ENSMUSG00000025658
ILMN_1214408	ENSMUSG00000085893
ILMN_1214410	ENSMUSG00000033967
ILMN_1214412	ENSMUSG00000029338
ILMN_1214416	ENSMUSG00000061079
ILMN_1214419	ENSMUSG00000034855
ILMN_1214422	ENSMUSG00000059423
ILMN_1214431	ENSMUSG00000037570
ILMN_1214439	ENSMUSG00000001870
ILMN_1214441	ENSMUSG00000046562
ILMN_1214447	ENSMUSG00000029088
ILMN_1214448	ENSMUSG00000053168
ILMN_1214450	ENSMUSG00000019863
ILMN_1214455	ENSMUSG00000039632
ILMN_1214459	ENSMUSG00000048013
ILMN_1214464	ENSMUSG00000060147
ILMN_1214466	ENSMUSG00000040812
ILMN_1214468	ENSMUSG00000060621
ILMN_1214469	ENSMUSG00000044712
ILMN_1214470	ENSMUSG00000035847
ILMN_1214471	ENSMUSG00000034613
ILMN_1214473	ENSMUSG00000028610
ILMN_1214477	ENSMUSG00000055370
ILMN_1214482	ENSMUSG00000053080
ILMN_1214483	ENSMUSG00000004885
ILMN_1214485	ENSMUSG00000016477
ILMN_1214486	ENSMUSG00000035824
ILMN_1214487	ENSMUSG00000038822
ILMN_1214488	ENSMUSG00000032959
ILMN_1214498	ENSMUSG00000061740
ILMN_1214500	ENSMUSG00000070509
ILMN_1214501	ENSMUSG00000036744
ILMN_1214504	ENSMUSG00000052562
ILMN_1214505	ENSMUSG00000007613
ILMN_1214508	ENSMUSG00000068182
ILMN_1214511	ENSMUSG00000030866
ILMN_1214514	ENSMUSG00000022094
ILMN_1214515	ENSMUSG00000027363
ILMN_1214517	ENSMUSG00000051736
ILMN_1214518	ENSMUSG00000034677
ILMN_1214520	ENSMUSG00000021983
ILMN_1214521	ENSMUSG00000081833
ILMN_1214521	ENSMUSG00000057762
ILMN_1214523	ENSMUSG00000025159
ILMN_1214531	ENSMUSG00000040583
ILMN_1214541	ENSMUSG00000057381
ILMN_1214544	ENSMUSG00000030966
ILMN_1214548	ENSMUSG00000051716
ILMN_1214550	ENSMUSG00000017914
ILMN_1214550	ENSMUSG00000074771
ILMN_1214560	ENSMUSG00000024887
ILMN_1214561	ENSMUSG00000070939
ILMN_1214563	ENSMUSG00000039376
ILMN_1214565	ENSMUSG00000033396
ILMN_1214566	ENSMUSG00000037375
ILMN_1214570	ENSMUSG00000091975
ILMN_1214570	ENSMUSG00000074832
ILMN_1214570	ENSMUSG00000090514
ILMN_1214570	ENSMUSG00000091589
ILMN_1214571	ENSMUSG00000046186
ILMN_1214573	ENSMUSG00000020774
ILMN_1214574	ENSMUSG00000026450
ILMN_1214578	ENSMUSG00000030527
ILMN_1214585	ENSMUSG00000018861
ILMN_1214586	ENSMUSG00000070866
